power_setting_mW,power_at_sample_mW,intensity_at_camera
0.1,0.012,125
5,0.48,2040
10,0.93,4289
15,1.4,6530
20,1.88,9084
25,2.33,11312
30,2.78,13156
35,3.25,14868
40,3.7,17040
45,4.16,18721
50,4.6,20961
55,5.05,22750
60,5.5,24327
65,5.9,26258
70,6.38,27802
75,6.81,29449
80,7.25,31652
85,7.67,33273
90,8.13,35374
95,8.54,36800
100,8.99,38690
105,9.4,40449
110,9.79,41242
115,10.2,42508
120,10.5,43540
125,11.01,44827
130,11.37,46165
135,11.84,47226
140,12.22,47546
145,12.6,48811
150,13,49625
155,13.33,50643
160,13.74,51952
165,14.19,53217
